JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29372566_316	2025-08-22T20:00:35	puhti	CANCELLED	3609	0:0	mariaosm	mariaosm		1	1		10485760K	5874K	01:00:00	3612	01:00:10
29372557_152	2025-08-22T19:59:41	puhti	CANCELLED	3627	0:0	mariaosm	mariaosm		1	1		10485760K	998592K	01:00:00	3632	01:00:28
29372557_139	2025-08-22T19:59:41	puhti	COMPLETED	19	0:0	mariaosm	mariaosm		1	1		10485760K	3272K	01:00:00	19	
29372566_330	2025-08-22T20:00:35	puhti	COMPLETED	445	0:0	mariaosm	mariaosm		1	1	07:10.776	10485760K	5731K	01:00:00	445	
29372566_317	2025-08-22T20:00:35	puhti	COMPLETED	2249	0:0	mariaosm	mariaosm		1	1	36:50.941	10485760K	6071K	01:00:00	2249	
29372557_153	2025-08-22T19:59:41	puhti	COMPLETED	515	0:0	mariaosm	mariaosm		1	1	08:30.492	10485760K	6003K	01:00:00	515	
29372566_331	2025-08-22T20:00:35	puhti	COMPLETED	18	0:0	mariaosm	mariaosm		1	1		10485760K	3276K	01:00:00	18	
29372566_318	2025-08-22T20:00:35	puhti	COMPLETED	37	0:0	mariaosm	mariaosm		1	1		10485760K	5898K	01:00:00	37	
29372557_154	2025-08-22T19:59:41	puhti	COMPLETED	267	0:0	mariaosm	mariaosm		1	1	04:23.171	10485760K	5901K	01:00:00	267	
29372566_332	2025-08-22T20:00:35	puhti	COMPLETED	759	0:0	mariaosm	mariaosm		1	1	12:24.955	10485760K	5741K	01:00:00	759	
29372566_319	2025-08-22T20:00:35	puhti	COMPLETED	115	0:0	mariaosm	mariaosm		1	1	01:24.826	10485760K	6009K	01:00:00	115	
29372557_155	2025-08-22T19:59:41	puhti	COMPLETED	249	0:0	mariaosm	mariaosm		1	1	04:05.474	10485760K	5929K	01:00:00	249	
29372566_333	2025-08-22T20:00:35	puhti	COMPLETED	564	0:0	mariaosm	mariaosm		1	1	09:10.537	10485760K	5732K	01:00:00	564	
