JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29907317_279	2025-09-30T13:19:42	puhti	FAILED	34	0:0	mariaosm	mariaosm		1	1		52428800K	6101K	00:30:00	34	
29907097_122	2025-09-30T13:15:20	puhti	COMPLETED	394	0:0	mariaosm	mariaosm		1	1	05:59.167	52428800K	6003K	00:30:00	394	
29907097_109	2025-09-30T13:15:20	puhti	COMPLETED	312	0:0	mariaosm	mariaosm		1	1	04:15.145	52428800K	5911K	00:30:00	312	
29907317_293	2025-09-30T13:19:42	puhti	FAILED	35	0:0	mariaosm	mariaosm		1	1		52428800K	6105K	00:30:00	35	
29907097_123	2025-09-30T13:15:20	puhti	COMPLETED	393	0:0	mariaosm	mariaosm		1	1	06:03.817	52428800K	6007K	00:30:00	393	
29907317_294	2025-09-30T13:19:42	puhti	FAILED	32	0:0	mariaosm	mariaosm		1	1		52428800K	6266K	00:30:00	32	
29907097_124	2025-09-30T13:15:20	puhti	COMPLETED	407	0:0	mariaosm	mariaosm		1	1	06:02.775	52428800K	6000K	00:30:00	407	
29907317_295	2025-09-30T13:19:42	puhti	FAILED	35	0:0	mariaosm	mariaosm		1	1		52428800K	5941K	00:30:00	35	
29907097_125	2025-09-30T13:15:20	puhti	COMPLETED	407	0:0	mariaosm	mariaosm		1	1	05:31.009	52428800K	6222K	00:30:00	407	
29907317_296	2025-09-30T13:19:42	puhti	FAILED	36	0:0	mariaosm	mariaosm		1	1		52428800K	6165K	00:30:00	36	
29907097_126	2025-09-30T13:15:20	puhti	COMPLETED	390	0:0	mariaosm	mariaosm		1	1	05:27.409	52428800K	6084K	00:30:00	390	
29907317_297	2025-09-30T13:19:42	puhti	FAILED	34	0:0	mariaosm	mariaosm		1	1		52428800K	6109K	00:30:00	34	
29907097_140	2025-09-30T13:15:20	puhti	COMPLETED	382	0:0	mariaosm	mariaosm		1	1	05:21.795	52428800K	8404861K	00:30:00	382	
29907097_127	2025-09-30T13:15:20	puhti	COMPLETED	408	0:0	mariaosm	mariaosm		1	1	05:46.799	52428800K	6250K	00:30:00	408	
29907317_298	2025-09-30T13:19:42	puhti	FAILED	33	0:0	mariaosm	mariaosm		1	1		52428800K	6098K	00:30:00	33	
29907097_141	2025-09-30T13:15:20	puhti	COMPLETED	362	0:0	mariaosm	mariaosm		1	1	04:51.983	52428800K	8403986K	00:30:00	362	
29907097_128	2025-09-30T13:15:20	puhti	COMPLETED	416	0:0	mariaosm	mariaosm		1	1	05:45.124	52428800K	6243K	00:30:00	416	
29907317_299	2025-09-30T13:19:42	puhti	FAILED	38	0:0	mariaosm	mariaosm		1	1		52428800K	6296K	00:30:00	38	
29907097_142	2025-09-30T13:15:20	puhti	COMPLETED	453	0:0	mariaosm	mariaosm		1	1	06:55.679	52428800K	8404116K	00:30:00	453	
29907097_129	2025-09-30T13:15:20	puhti	COMPLETED	411	0:0	mariaosm	mariaosm		1	1	05:47.298	52428800K	6532K	00:30:00	411	
29907097_143	2025-09-30T13:15:20	puhti	COMPLETED	369	0:0	mariaosm	mariaosm		1	1	06:02.939	52428800K	8404724K	00:30:00	369	
29907097_144	2025-09-30T13:15:20	puhti	COMPLETED	381	0:0	mariaosm	mariaosm		1	1	06:15.146	52428800K	8404719K	00:30:00	381	
29907097_145	2025-09-30T13:15:20	puhti	COMPLETED	458	0:0	mariaosm	mariaosm		1	1	07:18.891	52428800K	8404850K	00:30:00	458	
29907097_20	2025-09-30T13:15:20	puhti	COMPLETED	34	0:0	mariaosm	mariaosm		1	1		52428800K	6896K	00:30:00	34	
29907097_146	2025-09-30T13:15:20	puhti	COMPLETED	733	0:0	mariaosm	mariaosm		1	1	11:00.810	52428800K	8404727K	00:30:00	734	
29907097_21	2025-09-30T13:15:20	puhti	COMPLETED	30	0:0	mariaosm	mariaosm		1	1		52428800K	3276K	00:30:00	30	
29907097_160	2025-09-30T13:15:20	puhti	COMPLETED	605	0:0	mariaosm	mariaosm		1	1	09:29.448	52428800K	8404917K	00:30:00	605	
29907097_147	2025-09-30T13:15:20	puhti	COMPLETED	913	0:0	mariaosm	mariaosm		1	1	14:50.053	52428800K	8404830K	00:30:00	913	
29907097_22	2025-09-30T13:15:20	puhti	COMPLETED	25	0:0	mariaosm	mariaosm		1	1		52428800K	6054K	00:30:00	25	
29907097_161	2025-09-30T13:15:20	puhti	COMPLETED	593	0:0	mariaosm	mariaosm		1	1	09:16.212	52428800K	8404805K	00:30:00	593	
29907097_148	2025-09-30T13:15:20	puhti	COMPLETED	720	0:0	mariaosm	mariaosm		1	1	11:31.925	52428800K	8404712K	00:30:00	720	
29907097_23	2025-09-30T13:15:20	puhti	COMPLETED	48	0:0	mariaosm	mariaosm		1	1		52428800K	5795K	00:30:00	48	
29907097_162	2025-09-30T13:15:20	puhti	COMPLETED	566	0:0	mariaosm	mariaosm		1	1	08:48.679	52428800K	8404747K	00:30:00	566	
29907097_149	2025-09-30T13:15:20	puhti	COMPLETED	660	0:0	mariaosm	mariaosm		1	1	10:20.314	52428800K	8404800K	00:30:00	660	
29907097_24	2025-09-30T13:15:20	puhti	COMPLETED	54	0:0	mariaosm	mariaosm		1	1		52428800K	5779K	00:30:00	54	
29907097_163	2025-09-30T13:15:20	puhti	COMPLETED	565	0:0	mariaosm	mariaosm		1	1	08:43.928	52428800K	8404748K	00:30:00	565	
29907097_25	2025-09-30T13:15:20	puhti	COMPLETED	52	0:0	mariaosm	mariaosm		1	1		52428800K	5931K	00:30:00	52	
29907097_164	2025-09-30T13:15:20	puhti	COMPLETED	500	0:0	mariaosm	mariaosm		1	1	07:08.198	52428800K	8404966K	00:30:00	500	
29907097_26	2025-09-30T13:15:20	puhti	COMPLETED	48	0:0	mariaosm	mariaosm		1	1		52428800K	5931K	00:30:00	48	
29907097_165	2025-09-30T13:15:20	puhti	COMPLETED	474	0:0	mariaosm	mariaosm		1	1	06:54.137	52428800K	8404956K	00:30:00	474	
29907097_40	2025-09-30T13:15:20	puhti	COMPLETED	32	0:0	mariaosm	mariaosm		1	1		52428800K	6112K	00:30:00	32	
29907097_27	2025-09-30T13:15:20	puhti	COMPLETED	72	0:0	mariaosm	mariaosm		1	1	01:04.946	52428800K	6113K	00:30:00	72	
29907097_166	2025-09-30T13:15:20	puhti	COMPLETED	610	0:0	mariaosm	mariaosm		1	1	08:10.919	52428800K	8404741K	00:30:00	610	
29907097_41	2025-09-30T13:15:20	puhti	COMPLETED	43	0:0	mariaosm	mariaosm		1	1		52428800K	6099K	00:30:00	43	
29907097_28	2025-09-30T13:15:20	puhti	COMPLETED	52	0:0	mariaosm	mariaosm		1	1		52428800K	6118K	00:30:00	52	
29907097_200	2025-09-30T13:15:20	puhti	COMPLETED	1296	0:0	mariaosm	mariaosm		1	1	20:30.818	52428800K	6500K	00:30:00	1296	
29907097_180	2025-09-30T13:15:20	puhti	COMPLETED	1100	0:0	mariaosm	mariaosm		1	1	17:36.521	52428800K	6209K	00:30:00	1100	
29907097_167	2025-09-30T13:15:20	puhti	COMPLETED	614	0:0	mariaosm	mariaosm		1	1	08:37.673	52428800K	8404760K	00:30:00	614	
