data_ID	filenames	type	total_sequences	total_bases_raw	total_bases	poor_quality_sequences	sequence_length	pct_gc	Basic Statistics	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
FOXC2_ELF2_3_YSIII_TGACGT40NAGC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXC2_ELF2_3_YSIII_TGACGT40NAGC.fastq.gz	signal	222426	8.8 Mbp	8800000	0	40	51	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXC2_ELK3_3_YAFI_TGACGT40NAGC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXC2_ELK3_3_YAFI_TGACGT40NAGC.fastq.gz	signal	257510	10.3 Mbp	10300000	0	40	47	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	WARN	WARN	PASS
FOXC2_TBX21_3_YYI_TGACGT40NAGC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXC2_TBX21_3_YYI_TGACGT40NAGC.fastq.gz	signal	226113	9 Mbp	9000000	0	40	43	PASS	PASS	FAIL	PASS	FAIL	WARN	PASS	PASS	WARN	PASS	PASS
FOXC2_TCF12_3_YADIII_TGCCTC40NCAA	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXC2_TCF12_3_YADIII_TGCCTC40NCAA.fastq.gz	signal	170222	6.8 Mbp	6800000	0	40	56	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	WARN	PASS	PASS
FOXC2_TCF3_3_YIII_TGACGT40NAGC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXC2_TCF3_3_YIII_TGACGT40NAGC.fastq.gz	signal	194827	7.7 Mbp	7700000	0	40	46	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	FAIL	WARN	PASS
FOXC2_TGIF2LX_3_YVII_TGACGT40NAGC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXC2_TGIF2LX_3_YVII_TGACGT40NAGC.fastq.gz	signal	253547	10.1 Mbp	10100000	0	40	49	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXD2_TCF3_3_YIII_TGTTTC40NTTA	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXD2_TCF3_3_YIII_TGTTTC40NTTA.fastq.gz	signal	201487	8 Mbp	8000000	0	40	50	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	WARN	WARN	PASS
FOXI1_ELF1_3_YADIIII_TGATCA40NAGG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_ELF1_3_YADIIII_TGATCA40NAGG.fastq.gz	signal	261664	10.4 Mbp	10400000	0	40	53	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXI1_ELF2_3_YSIII_TTATAA40NGTG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_ELF2_3_YSIII_TTATAA40NGTG.fastq.gz	signal	232104	9.2 Mbp	9200000	0	40	46	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXI1_ELK3_3_YAFI_TTATAA40NGTG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_ELK3_3_YAFI_TTATAA40NGTG.fastq.gz	signal	273563	10.9 Mbp	10900000	0	40	43	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	FAIL	WARN	PASS
FOXI1_ETV1_3_YRIIII_TGATCA40NAGG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_ETV1_3_YRIIII_TGATCA40NAGG.fastq.gz	signal	263434	10.5 Mbp	10500000	0	40	55	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
FOXI1_ETV4_3_YSIII_TGATCA40NAGG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_ETV4_3_YSIII_TGATCA40NAGG.fastq.gz	signal	224060	8.9 Mbp	8900000	0	40	54	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
FOXI1_ETV5_3_YKII_TGATCA40NAGG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_ETV5_3_YKII_TGATCA40NAGG.fastq.gz	signal	171685	6.8 Mbp	6800000	0	40	46	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	WARN	WARN	PASS
FOXI1_FLI1_3_YYIII_TGATCA40NAGG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_FLI1_3_YYIII_TGATCA40NAGG.fastq.gz	signal	250683	10 Mbp	10000000	0	40	53	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
FOXI1_GABPA_3_YYIIII_TTATAA40NGTG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_GABPA_3_YYIIII_TTATAA40NGTG.fastq.gz	signal	203491	8.1 Mbp	8100000	0	40	48	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXI1_GCM1_3_YACII_TTATAA40NGTG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_GCM1_3_YACII_TTATAA40NGTG.fastq.gz	signal	242979	9.7 Mbp	9700000	0	40	56	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXI1_TCF3_3_YIII_TTATAA40NGTG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_TCF3_3_YIII_TTATAA40NGTG.fastq.gz	signal	194950	7.7 Mbp	7700000	0	40	45	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	FAIL	WARN	PASS
FOXI1_TGIF2LX_3_YVII_TTATAA40NGTG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXI1_TGIF2LX_3_YVII_TTATAA40NGTG.fastq.gz	signal	226310	9 Mbp	9000000	0	40	47	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXK1_ELF2_3_YSIII_TCGTAG40NACT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXK1_ELF2_3_YSIII_TCGTAG40NACT.fastq.gz	signal	247002	9.8 Mbp	9800000	0	40	52	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
FOXK2_ELF1_3_YADIIII_TTGAAC40NTAGC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXK2_ELF1_3_YADIIII_TTGAAC40NTAGC.fastq.gz	signal	335371	13.4 Mbp	13400000	0	40	47	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
FOXO1_ELF2_3_YSIII_TTTGCG40NGCT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXO1_ELF2_3_YSIII_TTTGCG40NGCT.fastq.gz	signal	234090	9.3 Mbp	9300000	0	40	50	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXO1_TBX21_3_YYI_TTTGCG40NGCT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXO1_TBX21_3_YYI_TTTGCG40NGCT.fastq.gz	signal	212633	8.5 Mbp	8500000	0	40	46	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	WARN	WARN	PASS
FOXO3A_ELF2_3_YSIII_TGTCTC40NTCA	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXO3A_ELF2_3_YSIII_TGTCTC40NTCA.fastq.gz	signal	201783	8 Mbp	8000000	0	40	51	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
FOXO6_ELF2_3_YSIII_TCCCAT40NTGT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXO6_ELF2_3_YSIII_TCCCAT40NTGT.fastq.gz	signal	239229	9.5 Mbp	9500000	0	40	51	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXO6_TBX21_3_YYI_TCCCAT40NTGT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXO6_TBX21_3_YYI_TCCCAT40NTGT.fastq.gz	signal	223296	8.9 Mbp	8900000	0	40	48	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS
GATA2_ELF5_3_YYI_TGAGTC40NAAC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA2_ELF5_3_YYI_TGAGTC40NAAC.fastq.gz	signal	203229	8.1 Mbp	8100000	0	40	53	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
GATA2_ONECUT1_3_YJII_TCTTCG40NGAT	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA2_ONECUT1_3_YJII_TCTTCG40NGAT.fastq.gz	signal	199577	7.9 Mbp	7900000	0	40	43	PASS	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	WARN	PASS	PASS
GATA2_TEAD4_3_YJII_TGAGTC40NAAC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA2_TEAD4_3_YJII_TGAGTC40NAAC.fastq.gz	signal	187578	7.5 Mbp	7500000	0	40	48	PASS	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
GATA3_ELF5_3_YYI_TGCGGA40NCGA	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/GATA3_ELF5_3_YYI_TGCGGA40NCGA.fastq.gz	signal	213648	8.5 Mbp	8500000	0	40	48	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS	WARN	WARN	PASS
